description,category
DOMINOS PIZZA ONLINE,Food
AIRTEL ONLINE,Bills
BONUS CREDIT UPI,Salary
FLIPKART ONLINE,Shopping
BONUS CREDIT BANGALORE,Salary
CASH WITHDRAWAL PAYMENT,Others
BANK CHARGE KOCHI,Others
SALARY CREDIT STORE,Salary
NPS,Investment
APOLLO PHARMACY PAYMENT,Healthcare
STOCK PURCHASE #1234,Investment
APOLLO PHARMACY #1234,Healthcare
FLIGHT BOOKING PAYMENT,Travel
BROADBAND BILL,Bills
HP PETROL #1234,Fuel
AMAZON PRIME STORE,Entertainment
RELIANCE DIGITAL #1234,Shopping
DENTAL CLINIC KOCHI,Healthcare
CAFE COFFEE DAY,Food
SHELL PETROL POS,Fuel
STARBUCKS STORE,Food
BROADBAND BILL PAYMENT,Bills
MUTUAL FUND SIP POS,Investment
INDIAN OIL INDIA,Fuel
DENTAL CLINIC #1234,Healthcare
SALARY CREDIT UPI,Salary
STOCK PURCHASE POS,Investment
HOSPITAL PAYMENT,Healthcare
MONTHLY SALARY INDIA,Salary
RELIANCE DIGITAL #1234,Shopping
BANK CHARGE PAYMENT,Others
BONUS CREDIT ONLINE,Salary
BONUS CREDIT POS,Salary
NIKE STORE POS,Shopping
BHARAT PETROLEUM TXN,Fuel
KSRTC UPI,Travel
WATER BILL KOCHI,Bills
CAFE COFFEE DAY PAYMENT,Food
SHELL PETROL PAYMENT,Fuel
BONUS CREDIT POS,Salary
DOMINOS PIZZA STORE,Food
CASH WITHDRAWAL TXN,Others
MOBILE RECHARGE INDIA,Bills
SHELL PETROL UPI,Fuel
CHEQUE PAYMENT,Others
MUTUAL FUND SIP ONLINE,Investment
WATER BILL,Bills
SHELL PETROL UPI,Fuel
IRCTC TXN,Travel
ELECTRICITY BILL BANGALORE,Bills
MONTHLY SALARY STORE,Salary
SUBWAY POS,Food
STOCK PURCHASE UPI,Investment
JIO RECHARGE POS,Bills
BANK CHARGE POS,Others
BROADBAND BILL POS,Bills
HP PETROL,Fuel
CHEQUE PAYMENT STORE,Others
SPOTIFY STORE,Entertainment
DOMINOS PIZZA KOCHI,Food
BUS TICKET UPI,Travel
AMAZON PRIME,Entertainment
ZERODHA PAYMENT,Investment
DENTAL CLINIC STORE,Healthcare
SALARY CREDIT KOCHI,Salary
BOOKMYSHOW BANGALORE,Entertainment
APOLLO PHARMACY PAYMENT,Healthcare
STOCK PURCHASE TXN,Investment
OLA CAB,Travel
SALARY CREDIT TXN,Salary
NETFLIX #1234,Entertainment
SPOTIFY KOCHI,Entertainment
DENTAL CLINIC ONLINE,Healthcare
AMAZON PAY KOCHI,Shopping
FLIPKART INDIA,Shopping
HOSPITAL ONLINE,Healthcare
BANK CHARGE #1234,Others
BUS TICKET TXN,Travel
SHELL PETROL KOCHI,Fuel
RELIANCE DIGITAL,Shopping
ATM WITHDRAWAL ONLINE,Others
CHEQUE PAYMENT #1234,Others
INDIAN OIL POS,Fuel
FLIGHT BOOKING TXN,Travel
MOBILE RECHARGE TXN,Bills
FLIGHT BOOKING ONLINE,Travel
RAPIDO,Travel
SUBWAY TXN,Food
LAB TEST KOCHI,Healthcare
SPOTIFY #1234,Entertainment
YOUTUBE PREMIUM BANGALORE,Entertainment
FLIGHT BOOKING UPI,Travel
SHELL PETROL BANGALORE,Fuel
PUMA ONLINE,Shopping
LAB TEST UPI,Healthcare
MOBILE RECHARGE ONLINE,Bills
AMAZON PRIME TXN,Entertainment
BANK CHARGE PAYMENT,Others
WATER BILL PAYMENT,Bills
BURGER KING POS,Food
APOLLO PHARMACY BANGALORE,Healthcare
ZERODHA #1234,Investment
CASH WITHDRAWAL BANGALORE,Others
AMAZON PAY STORE,Shopping
PUMA PAYMENT,Shopping
ZERODHA STORE,Investment
SPOTIFY PAYMENT,Entertainment
FLIPKART PAYMENT,Shopping
DENTAL CLINIC UPI,Healthcare
BHARAT PETROLEUM PAYMENT,Fuel
DENTAL CLINIC BANGALORE,Healthcare
ATM WITHDRAWAL,Others
MEDICAL STORE ONLINE,Healthcare
MONTHLY SALARY KOCHI,Salary
HP PETROL UPI,Fuel
SPOTIFY #1234,Entertainment
HOSPITAL,Healthcare
MONTHLY SALARY UPI,Salary
STOCK PURCHASE #1234,Investment
PUMA,Shopping
YOUTUBE PREMIUM TXN,Entertainment
NPS,Investment
MONTHLY SALARY KOCHI,Salary
SALARY CREDIT STORE,Salary
SALARY CREDIT PAYMENT,Salary
MONTHLY SALARY ONLINE,Salary
ZOMATO PAYMENT INDIA,Food
YOUTUBE PREMIUM ONLINE,Entertainment
HOTSTAR TXN,Entertainment
DENTAL CLINIC,Healthcare
WATER BILL ONLINE,Bills
HOSPITAL UPI,Healthcare
CASH WITHDRAWAL BANGALORE,Others
AJIO #1234,Shopping
HP PETROL STORE,Fuel
RAPIDO INDIA,Travel
MCDONALDS POS,Food
SHELL PETROL ONLINE,Fuel
ATM WITHDRAWAL BANGALORE,Others
ZERODHA KOCHI,Investment
MONTHLY SALARY INDIA,Salary
NIKE STORE INDIA,Shopping
HP PETROL UPI,Fuel
BONUS CREDIT PAYMENT,Salary
STOCK PURCHASE KOCHI,Investment
LAB TEST STORE,Healthcare
BOOKMYSHOW INDIA,Entertainment
CASH WITHDRAWAL #1234,Others
FLIPKART ONLINE,Shopping
AMAZON PAY UPI,Shopping
CASH WITHDRAWAL POS,Others
MUTUAL FUND SIP ONLINE,Investment
CAFE COFFEE DAY UPI,Food
SHELL PETROL INDIA,Fuel
METRO RECHARGE PAYMENT,Travel
CAFE COFFEE DAY ONLINE,Food
CHEQUE PAYMENT BANGALORE,Others
KSRTC STORE,Travel
RAPIDO PAYMENT,Travel
MOBILE RECHARGE UPI,Bills
RAPIDO INDIA,Travel
HP PETROL STORE,Fuel
YOUTUBE PREMIUM TXN,Entertainment
MUTUAL FUND SIP #1234,Investment
AMAZON PAY POS,Shopping
UBER TRIP ONLINE,Travel
MYNTRA ONLINE,Shopping
BONUS CREDIT TXN,Salary
HP PETROL KOCHI,Fuel
ZERODHA TXN,Investment
DOMINOS PIZZA PAYMENT,Food
PPF #1234,Investment
MEDICAL STORE ONLINE,Healthcare
MEDICAL STORE STORE,Healthcare
MCDONALDS ONLINE,Food
HOSPITAL INDIA,Healthcare
BROADBAND BILL POS,Bills
STARBUCKS PAYMENT,Food
BONUS CREDIT PAYMENT,Salary
HOTSTAR STORE,Entertainment
ELECTRICITY BILL KOCHI,Bills
AIRTEL STORE,Bills
SALARY CREDIT INDIA,Salary
HOSPITAL TXN,Healthcare
SPOTIFY BANGALORE,Entertainment
DENTAL CLINIC ONLINE,Healthcare
IRCTC POS,Travel
AMAZON PAY PAYMENT,Shopping
ATM WITHDRAWAL KOCHI,Others
MYNTRA #1234,Shopping
MUTUAL FUND SIP,Investment
ELECTRICITY BILL KOCHI,Bills
PIZZA HUT,Food
AIRTEL PAYMENT,Bills
ATM WITHDRAWAL #1234,Others
APOLLO PHARMACY BANGALORE,Healthcare
CHEQUE PAYMENT #1234,Others
SUBWAY #1234,Food
MEDICAL STORE TXN,Healthcare
SHELL PETROL,Fuel
METRO RECHARGE UPI,Travel
PUMA INDIA,Shopping
AMAZON PAY KOCHI,Shopping
OLA CAB BANGALORE,Travel
MEDICAL STORE INDIA,Healthcare
HOSPITAL PAYMENT,Healthcare
PPF PAYMENT,Investment
BONUS CREDIT INDIA,Salary
FLIPKART UPI,Shopping
BOOKMYSHOW INDIA,Entertainment
DOMINOS PIZZA KOCHI,Food
BONUS CREDIT PAYMENT,Salary
JIO RECHARGE ONLINE,Bills
KSRTC #1234,Travel
ELECTRICITY BILL BANGALORE,Bills
SUBWAY PAYMENT,Food
SHELL PETROL #1234,Fuel
KSRTC STORE,Travel
SALARY CREDIT,Salary
UBER TRIP TXN,Travel
RELIANCE DIGITAL INDIA,Shopping
NETFLIX PAYMENT,Entertainment
MONTHLY SALARY ONLINE,Salary
MONTHLY SALARY BANGALORE,Salary
PUMA INDIA,Shopping
LAB TEST BANGALORE,Healthcare
HP PETROL UPI,Fuel
BHARAT PETROLEUM INDIA,Fuel
AMAZON PAY STORE,Shopping
NETFLIX PAYMENT,Entertainment
MEDICAL STORE KOCHI,Healthcare
YOUTUBE PREMIUM UPI,Entertainment
MUTUAL FUND SIP,Investment
CASH WITHDRAWAL TXN,Others
SALARY CREDIT PAYMENT,Salary
NPS ONLINE,Investment
PUMA POS,Shopping
HP PETROL INDIA,Fuel
CAFE COFFEE DAY POS,Food
BONUS CREDIT KOCHI,Salary
BOOKMYSHOW PAYMENT,Entertainment
MONTHLY SALARY BANGALORE,Salary
INDIAN OIL #1234,Fuel
BOOKMYSHOW STORE,Entertainment
MCDONALDS TXN,Food
MONTHLY SALARY UPI,Salary
MOBILE RECHARGE INDIA,Bills
JIO RECHARGE UPI,Bills
BOOKMYSHOW POS,Entertainment
BHARAT PETROLEUM INDIA,Fuel
MONTHLY SALARY,Salary
BANK CHARGE TXN,Others
MONTHLY SALARY UPI,Salary
PUMA #1234,Shopping
ELECTRICITY BILL POS,Bills
MONTHLY SALARY ONLINE,Salary
BONUS CREDIT PAYMENT,Salary
DENTAL CLINIC ONLINE,Healthcare
YOUTUBE PREMIUM ONLINE,Entertainment
JIO RECHARGE UPI,Bills
RELIANCE DIGITAL STORE,Shopping
APOLLO PHARMACY UPI,Healthcare
HP PETROL ONLINE,Fuel
BANK CHARGE POS,Others
MCDONALDS PAYMENT,Food
WATER BILL POS,Bills
ATM WITHDRAWAL BANGALORE,Others
HOTSTAR,Entertainment
CHEQUE PAYMENT #1234,Others
CASH WITHDRAWAL UPI,Others
BONUS CREDIT KOCHI,Salary
CHEQUE PAYMENT POS,Others
ELECTRICITY BILL,Bills
JIO RECHARGE TXN,Bills
MEDICAL STORE POS,Healthcare
BOOKMYSHOW PAYMENT,Entertainment
BHARAT PETROLEUM ONLINE,Fuel
MYNTRA #1234,Shopping
BHARAT PETROLEUM KOCHI,Fuel
APOLLO PHARMACY TXN,Healthcare
FLIGHT BOOKING KOCHI,Travel
NPS PAYMENT,Investment
ZOMATO PAYMENT TXN,Food
ATM WITHDRAWAL,Others
YOUTUBE PREMIUM PAYMENT,Entertainment
BOOKMYSHOW STORE,Entertainment
CHEQUE PAYMENT BANGALORE,Others
AJIO TXN,Shopping
ATM WITHDRAWAL KOCHI,Others
FLIGHT BOOKING ONLINE,Travel
WATER BILL ONLINE,Bills
KFC INDIA KOCHI,Food
BANK CHARGE STORE,Others
KFC INDIA BANGALORE,Food
APOLLO PHARMACY ONLINE,Healthcare
APOLLO PHARMACY PAYMENT,Healthcare
HOSPITAL KOCHI,Healthcare
ATM WITHDRAWAL POS,Others
HOTSTAR UPI,Entertainment
MONTHLY SALARY STORE,Salary
NPS BANGALORE,Investment
INDIAN OIL TXN,Fuel
INDIAN OIL TXN,Fuel
BONUS CREDIT PAYMENT,Salary
UBER TRIP #1234,Travel
FLIPKART KOCHI,Shopping
MOBILE RECHARGE,Bills
ELECTRICITY BILL TXN,Bills
ELECTRICITY BILL KOCHI,Bills
BANK CHARGE ONLINE,Others
SALARY CREDIT #1234,Salary
IRCTC KOCHI,Travel
NIKE STORE,Shopping
NETFLIX UPI,Entertainment
AMAZON PRIME KOCHI,Entertainment
UBER TRIP PAYMENT,Travel
RELIANCE DIGITAL INDIA,Shopping
YOUTUBE PREMIUM KOCHI,Entertainment
CASH WITHDRAWAL INDIA,Others
AIRTEL,Bills
AMAZON PRIME,Entertainment
HOTSTAR #1234,Entertainment
MEDICAL STORE BANGALORE,Healthcare
NETFLIX ONLINE,Entertainment
ATM WITHDRAWAL #1234,Others
AMAZON PRIME STORE,Entertainment
FLIPKART BANGALORE,Shopping
METRO RECHARGE UPI,Travel
CROMA KOCHI,Shopping
BONUS CREDIT ONLINE,Salary
BANK CHARGE PAYMENT,Others
WATER BILL INDIA,Bills
BHARAT PETROLEUM INDIA,Fuel
DENTAL CLINIC BANGALORE,Healthcare
ATM WITHDRAWAL KOCHI,Others
HOSPITAL BANGALORE,Healthcare
JIO RECHARGE,Bills
HP PETROL ONLINE,Fuel
PPF UPI,Investment
BROADBAND BILL TXN,Bills
ZERODHA STORE,Investment
BOOKMYSHOW POS,Entertainment
NPS TXN,Investment
BURGER KING POS,Food
DENTAL CLINIC UPI,Healthcare
HP PETROL INDIA,Fuel
CASH WITHDRAWAL STORE,Others
BROADBAND BILL UPI,Bills
SALARY CREDIT PAYMENT,Salary
NETFLIX,Entertainment
JIO RECHARGE STORE,Bills
AIRTEL POS,Bills
KFC INDIA KOCHI,Food
NPS #1234,Investment
HP PETROL TXN,Fuel
RELIANCE DIGITAL UPI,Shopping
SHELL PETROL,Fuel
NPS BANGALORE,Investment
SPOTIFY,Entertainment
INDIAN OIL ONLINE,Fuel
MONTHLY SALARY BANGALORE,Salary
LAB TEST STORE,Healthcare
MUTUAL FUND SIP #1234,Investment
PPF UPI,Investment
AIRTEL INDIA,Bills
NPS POS,Investment
ZERODHA ONLINE,Investment
BHARAT PETROLEUM KOCHI,Fuel
ATM WITHDRAWAL BANGALORE,Others
MYNTRA,Shopping
LAB TEST,Healthcare
NETFLIX POS,Entertainment
BROADBAND BILL,Bills
CAFE COFFEE DAY KOCHI,Food
KSRTC TXN,Travel
APOLLO PHARMACY ONLINE,Healthcare
LAB TEST ONLINE,Healthcare
HOTSTAR POS,Entertainment
HOSPITAL,Healthcare
MEDICAL STORE #1234,Healthcare
IRCTC TXN,Travel
AMAZON PAY KOCHI,Shopping
ATM WITHDRAWAL KOCHI,Others
BANK CHARGE,Others
RELIANCE DIGITAL INDIA,Shopping
CHEQUE PAYMENT TXN,Others
FLIPKART UPI,Shopping
LAB TEST PAYMENT,Healthcare
MUTUAL FUND SIP KOCHI,Investment
PPF POS,Investment
PUMA PAYMENT,Shopping
MOBILE RECHARGE #1234,Bills
CHEQUE PAYMENT TXN,Others
AMAZON PRIME POS,Entertainment
MYNTRA #1234,Shopping
MONTHLY SALARY TXN,Salary
MYNTRA UPI,Shopping
SALARY CREDIT,Salary
SPOTIFY,Entertainment
AJIO UPI,Shopping
BOOKMYSHOW BANGALORE,Entertainment
WATER BILL KOCHI,Bills
CROMA,Shopping
SHELL PETROL BANGALORE,Fuel
MYNTRA KOCHI,Shopping
JIO RECHARGE STORE,Bills
ZERODHA TXN,Investment
LAB TEST ONLINE,Healthcare
CASH WITHDRAWAL BANGALORE,Others
CAFE COFFEE DAY KOCHI,Food
INDIAN OIL UPI,Fuel
PUMA PAYMENT,Shopping
NETFLIX TXN,Entertainment
SALARY CREDIT POS,Salary
CASH WITHDRAWAL POS,Others
BHARAT PETROLEUM INDIA,Fuel
INDIAN OIL POS,Fuel
MONTHLY SALARY INDIA,Salary
NPS ONLINE,Investment
JIO RECHARGE #1234,Bills
ATM WITHDRAWAL INDIA,Others
CASH WITHDRAWAL #1234,Others
INDIAN OIL TXN,Fuel
MONTHLY SALARY KOCHI,Salary
HOSPITAL #1234,Healthcare
INDIAN OIL #1234,Fuel
ATM WITHDRAWAL #1234,Others
JIO RECHARGE KOCHI,Bills
STOCK PURCHASE INDIA,Investment
MEDICAL STORE INDIA,Healthcare
AMAZON PAY ONLINE,Shopping
ZERODHA TXN,Investment
SALARY CREDIT STORE,Salary
BHARAT PETROLEUM ONLINE,Fuel
MOBILE RECHARGE ONLINE,Bills
METRO RECHARGE TXN,Travel
CHEQUE PAYMENT TXN,Others
FLIPKART PAYMENT,Shopping
BANK CHARGE POS,Others
RELIANCE DIGITAL STORE,Shopping
WATER BILL PAYMENT,Bills
SUBWAY UPI,Food
CASH WITHDRAWAL POS,Others
APOLLO PHARMACY UPI,Healthcare
LAB TEST #1234,Healthcare
SHELL PETROL INDIA,Fuel
IRCTC BANGALORE,Travel
SPOTIFY,Entertainment
OLA CAB STORE,Travel
ZERODHA,Investment
HOTSTAR UPI,Entertainment
RAPIDO #1234,Travel
PUMA TXN,Shopping
NIKE STORE KOCHI,Shopping
SUBWAY #1234,Food
AIRTEL,Bills
BUS TICKET KOCHI,Travel
IRCTC UPI,Travel
PPF KOCHI,Investment
DENTAL CLINIC KOCHI,Healthcare
FLIGHT BOOKING POS,Travel
ATM WITHDRAWAL #1234,Others
METRO RECHARGE,Travel
PUMA #1234,Shopping
ATM WITHDRAWAL ONLINE,Others
SUBWAY,Food
NPS TXN,Investment
ZERODHA KOCHI,Investment
ZOMATO PAYMENT KOCHI,Food
INDIAN OIL STORE,Fuel
MONTHLY SALARY PAYMENT,Salary
AJIO STORE,Shopping
RELIANCE DIGITAL STORE,Shopping
BHARAT PETROLEUM ONLINE,Fuel
SALARY CREDIT KOCHI,Salary
STOCK PURCHASE,Investment
HOSPITAL PAYMENT,Healthcare
CASH WITHDRAWAL #1234,Others
MUTUAL FUND SIP BANGALORE,Investment
PIZZA HUT KOCHI,Food
CASH WITHDRAWAL STORE,Others
BHARAT PETROLEUM STORE,Fuel
ZERODHA STORE,Investment
CAFE COFFEE DAY INDIA,Food
FLIGHT BOOKING #1234,Travel
SALARY CREDIT STORE,Salary
ATM WITHDRAWAL STORE,Others
BOOKMYSHOW BANGALORE,Entertainment
APOLLO PHARMACY ONLINE,Healthcare
BONUS CREDIT POS,Salary
STOCK PURCHASE #1234,Investment
DENTAL CLINIC STORE,Healthcare
IRCTC STORE,Travel
BONUS CREDIT KOCHI,Salary
KSRTC BANGALORE,Travel
YOUTUBE PREMIUM,Entertainment
FLIPKART,Shopping
RAPIDO TXN,Travel
METRO RECHARGE STORE,Travel
BONUS CREDIT TXN,Salary
BOOKMYSHOW INDIA,Entertainment
MYNTRA #1234,Shopping
CASH WITHDRAWAL POS,Others
SHELL PETROL ONLINE,Fuel
BONUS CREDIT TXN,Salary
MCDONALDS ONLINE,Food
CAFE COFFEE DAY INDIA,Food
ATM WITHDRAWAL BANGALORE,Others
PIZZA HUT ONLINE,Food
MONTHLY SALARY PAYMENT,Salary
HOSPITAL #1234,Healthcare
IRCTC,Travel
NETFLIX UPI,Entertainment
JIO RECHARGE PAYMENT,Bills
MYNTRA ONLINE,Shopping
BOOKMYSHOW UPI,Entertainment
ATM WITHDRAWAL POS,Others
ELECTRICITY BILL PAYMENT,Bills
HOSPITAL UPI,Healthcare
HP PETROL BANGALORE,Fuel
PPF POS,Investment
AMAZON PAY #1234,Shopping
SALARY CREDIT,Salary
HOTSTAR UPI,Entertainment
PUMA POS,Shopping
LAB TEST #1234,Healthcare
SWIGGY ORDER #1234,Food
SALARY CREDIT POS,Salary
ATM WITHDRAWAL POS,Others
SALARY CREDIT KOCHI,Salary
SALARY CREDIT UPI,Salary
NETFLIX INDIA,Entertainment
FLIGHT BOOKING PAYMENT,Travel
NETFLIX #1234,Entertainment
KSRTC KOCHI,Travel
JIO RECHARGE POS,Bills
HOTSTAR STORE,Entertainment
NPS ONLINE,Investment
BONUS CREDIT BANGALORE,Salary
UBER TRIP TXN,Travel
MCDONALDS PAYMENT,Food
STOCK PURCHASE INDIA,Investment
AMAZON PRIME INDIA,Entertainment
ATM WITHDRAWAL UPI,Others
HOTSTAR UPI,Entertainment
BANK CHARGE ONLINE,Others
HOSPITAL POS,Healthcare
PIZZA HUT TXN,Food
DENTAL CLINIC POS,Healthcare
NPS KOCHI,Investment
BHARAT PETROLEUM,Fuel
ELECTRICITY BILL UPI,Bills
AMAZON PRIME,Entertainment
KFC INDIA STORE,Food
BHARAT PETROLEUM #1234,Fuel
HP PETROL TXN,Fuel
WATER BILL,Bills
PIZZA HUT KOCHI,Food
SHELL PETROL BANGALORE,Fuel
FLIPKART PAYMENT,Shopping
AIRTEL BANGALORE,Bills
NPS #1234,Investment
FLIGHT BOOKING TXN,Travel
AMAZON PRIME STORE,Entertainment
SPOTIFY STORE,Entertainment
ZERODHA INDIA,Investment
BOOKMYSHOW STORE,Entertainment
OLA CAB UPI,Travel
WATER BILL STORE,Bills
AMAZON PAY KOCHI,Shopping
INDIAN OIL TXN,Fuel
MONTHLY SALARY STORE,Salary
OLA CAB,Travel
AMAZON PAY BANGALORE,Shopping
MEDICAL STORE ONLINE,Healthcare
INDIAN OIL BANGALORE,Fuel
ELECTRICITY BILL STORE,Bills
KFC INDIA ONLINE,Food
NETFLIX ONLINE,Entertainment
PPF BANGALORE,Investment
STOCK PURCHASE INDIA,Investment
ZERODHA PAYMENT,Investment
MYNTRA #1234,Shopping
MUTUAL FUND SIP STORE,Investment
SALARY CREDIT #1234,Salary
ATM WITHDRAWAL #1234,Others
PUMA UPI,Shopping
HP PETROL KOCHI,Fuel
LAB TEST STORE,Healthcare
UBER TRIP ONLINE,Travel
CROMA UPI,Shopping
ATM WITHDRAWAL INDIA,Others
APOLLO PHARMACY #1234,Healthcare
SHELL PETROL,Fuel
ELECTRICITY BILL #1234,Bills
MYNTRA ONLINE,Shopping
ZERODHA STORE,Investment
IRCTC #1234,Travel
MEDICAL STORE POS,Healthcare
MOBILE RECHARGE INDIA,Bills
MEDICAL STORE POS,Healthcare
BANK CHARGE TXN,Others
JIO RECHARGE STORE,Bills
AJIO PAYMENT,Shopping
BONUS CREDIT BANGALORE,Salary
SPOTIFY TXN,Entertainment
OLA CAB ONLINE,Travel
UBER TRIP STORE,Travel
SALARY CREDIT,Salary
OLA CAB POS,Travel
NPS TXN,Investment
JIO RECHARGE,Bills
PUMA UPI,Shopping
HOSPITAL,Healthcare
BHARAT PETROLEUM KOCHI,Fuel
AIRTEL STORE,Bills
SHELL PETROL STORE,Fuel
MEDICAL STORE UPI,Healthcare
INDIAN OIL KOCHI,Fuel
INDIAN OIL,Fuel
SHELL PETROL UPI,Fuel
LAB TEST,Healthcare
SALARY CREDIT UPI,Salary
CHEQUE PAYMENT PAYMENT,Others
INDIAN OIL ONLINE,Fuel
SALARY CREDIT INDIA,Salary
CASH WITHDRAWAL ONLINE,Others
NPS TXN,Investment
FLIPKART STORE,Shopping
MUTUAL FUND SIP TXN,Investment
WATER BILL UPI,Bills
STOCK PURCHASE PAYMENT,Investment
MEDICAL STORE INDIA,Healthcare
BURGER KING,Food
BONUS CREDIT STORE,Salary
MCDONALDS TXN,Food
MONTHLY SALARY STORE,Salary
NPS INDIA,Investment
FLIPKART BANGALORE,Shopping
INDIAN OIL PAYMENT,Fuel
BONUS CREDIT UPI,Salary
SHELL PETROL INDIA,Fuel
MYNTRA #1234,Shopping
STOCK PURCHASE KOCHI,Investment
MUTUAL FUND SIP INDIA,Investment
BHARAT PETROLEUM KOCHI,Fuel
ATM WITHDRAWAL KOCHI,Others
CHEQUE PAYMENT UPI,Others
SALARY CREDIT BANGALORE,Salary
AJIO,Shopping
SALARY CREDIT POS,Salary
BOOKMYSHOW UPI,Entertainment
ATM WITHDRAWAL UPI,Others
MUTUAL FUND SIP,Investment
APOLLO PHARMACY UPI,Healthcare
CASH WITHDRAWAL UPI,Others
NPS TXN,Investment
ZERODHA STORE,Investment
ZERODHA UPI,Investment
BOOKMYSHOW TXN,Entertainment
MUTUAL FUND SIP KOCHI,Investment
APOLLO PHARMACY KOCHI,Healthcare
CHEQUE PAYMENT KOCHI,Others
BHARAT PETROLEUM INDIA,Fuel
MCDONALDS INDIA,Food
NPS #1234,Investment
DOMINOS PIZZA INDIA,Food
SPOTIFY POS,Entertainment
ATM WITHDRAWAL ONLINE,Others
JIO RECHARGE ONLINE,Bills
INDIAN OIL,Fuel
PIZZA HUT TXN,Food
CHEQUE PAYMENT #1234,Others
HOSPITAL PAYMENT,Healthcare
CHEQUE PAYMENT KOCHI,Others
IRCTC ONLINE,Travel
MONTHLY SALARY UPI,Salary
AMAZON PAY ONLINE,Shopping
SHELL PETROL STORE,Fuel
MEDICAL STORE PAYMENT,Healthcare
CAFE COFFEE DAY PAYMENT,Food
NIKE STORE,Shopping
JIO RECHARGE KOCHI,Bills
KSRTC STORE,Travel
MONTHLY SALARY PAYMENT,Salary
LAB TEST ONLINE,Healthcare
AIRTEL ONLINE,Bills
MONTHLY SALARY BANGALORE,Salary
CAFE COFFEE DAY ONLINE,Food
PPF,Investment
YOUTUBE PREMIUM INDIA,Entertainment
BANK CHARGE POS,Others
AJIO PAYMENT,Shopping
BONUS CREDIT,Salary
INDIAN OIL TXN,Fuel
YOUTUBE PREMIUM #1234,Entertainment
CHEQUE PAYMENT INDIA,Others
BURGER KING #1234,Food
DENTAL CLINIC PAYMENT,Healthcare
DENTAL CLINIC BANGALORE,Healthcare
ZERODHA BANGALORE,Investment
SALARY CREDIT STORE,Salary
AMAZON PAY ONLINE,Shopping
INDIAN OIL TXN,Fuel
MONTHLY SALARY,Salary
DOMINOS PIZZA,Food
HP PETROL PAYMENT,Fuel
LAB TEST PAYMENT,Healthcare
BHARAT PETROLEUM POS,Fuel
NPS #1234,Investment
CHEQUE PAYMENT PAYMENT,Others
BONUS CREDIT INDIA,Salary
KFC INDIA INDIA,Food
STOCK PURCHASE ONLINE,Investment
NPS STORE,Investment
KFC INDIA TXN,Food
ATM WITHDRAWAL STORE,Others
BURGER KING STORE,Food
BONUS CREDIT #1234,Salary
STOCK PURCHASE STORE,Investment
OLA CAB TXN,Travel
AMAZON PRIME KOCHI,Entertainment
FLIGHT BOOKING BANGALORE,Travel
NPS #1234,Investment
AIRTEL UPI,Bills
HP PETROL,Fuel
SALARY CREDIT #1234,Salary
STOCK PURCHASE INDIA,Investment
KFC INDIA INDIA,Food
ATM WITHDRAWAL,Others
KFC INDIA ONLINE,Food
MOBILE RECHARGE POS,Bills
YOUTUBE PREMIUM BANGALORE,Entertainment
UBER TRIP PAYMENT,Travel
FLIGHT BOOKING #1234,Travel
BOOKMYSHOW STORE,Entertainment
MONTHLY SALARY #1234,Salary
SHELL PETROL #1234,Fuel
HP PETROL PAYMENT,Fuel
ZERODHA,Investment
INDIAN OIL PAYMENT,Fuel
SALARY CREDIT STORE,Salary
BROADBAND BILL PAYMENT,Bills
AIRTEL PAYMENT,Bills
YOUTUBE PREMIUM,Entertainment
SHELL PETROL PAYMENT,Fuel
STOCK PURCHASE,Investment
CROMA PAYMENT,Shopping
PIZZA HUT,Food
METRO RECHARGE KOCHI,Travel
CHEQUE PAYMENT #1234,Others
PIZZA HUT TXN,Food
BROADBAND BILL STORE,Bills
SALARY CREDIT STORE,Salary
SHELL PETROL PAYMENT,Fuel
BHARAT PETROLEUM UPI,Fuel
CHEQUE PAYMENT TXN,Others
BONUS CREDIT KOCHI,Salary
PIZZA HUT POS,Food
CASH WITHDRAWAL UPI,Others
SALARY CREDIT PAYMENT,Salary
NIKE STORE PAYMENT,Shopping
MOBILE RECHARGE STORE,Bills
BANK CHARGE TXN,Others
IRCTC ONLINE,Travel
HOSPITAL KOCHI,Healthcare
CHEQUE PAYMENT POS,Others
ELECTRICITY BILL UPI,Bills
YOUTUBE PREMIUM POS,Entertainment
KSRTC PAYMENT,Travel
AIRTEL PAYMENT,Bills
CAFE COFFEE DAY KOCHI,Food
BANK CHARGE PAYMENT,Others
IRCTC STORE,Travel
SHELL PETROL,Fuel
HP PETROL POS,Fuel
NPS STORE,Investment
HP PETROL PAYMENT,Fuel
BURGER KING UPI,Food
NPS INDIA,Investment
YOUTUBE PREMIUM #1234,Entertainment
MYNTRA POS,Shopping
STOCK PURCHASE TXN,Investment
BANK CHARGE,Others
KSRTC KOCHI,Travel
WATER BILL POS,Bills
BONUS CREDIT #1234,Salary
AJIO,Shopping
FLIPKART ONLINE,Shopping
WATER BILL BANGALORE,Bills
PUMA #1234,Shopping
BHARAT PETROLEUM ONLINE,Fuel
STOCK PURCHASE POS,Investment
BROADBAND BILL ONLINE,Bills
STARBUCKS KOCHI,Food
FLIGHT BOOKING BANGALORE,Travel
INDIAN OIL BANGALORE,Fuel
AMAZON PRIME BANGALORE,Entertainment
METRO RECHARGE PAYMENT,Travel
BURGER KING TXN,Food
HOTSTAR ONLINE,Entertainment
